Symbol,Name,Exchange,Market_Category,ETF,Source
AAPL,AAPL Corporation,NASDAQ,Q,False,Fallback List
ABNB,ABNB Corporation,NASDAQ,Q,False,Fallback List
ADBE,ADBE Corporation,NASDAQ,Q,False,Fallback List
ADI,ADI Corporation,NASDAQ,Q,False,Fallback List
ADP,ADP Corporation,NASDAQ,Q,False,Fallback List
ADSK,ADSK Corporation,NASDAQ,Q,False,Fallback List
AFRM,AFRM Corporation,NASDAQ,Q,False,Fallback List
ALGN,ALGN Corporation,NASDAQ,Q,False,Fallback List
ALXN,ALXN Corporation,NASDAQ,Q,False,Fallback List
AMAT,AMAT Corporation,NASDAQ,Q,False,Fallback List
AMD,AMD Corporation,NASDAQ,Q,False,Fallback List
AMGN,AMGN Corporation,NASDAQ,Q,False,Fallback List
AMZN,AMZN Corporation,NASDAQ,Q,False,Fallback List
AVGO,AVGO Corporation,NASDAQ,Q,False,Fallback List
BE,BE Corporation,NASDAQ,Q,False,Fallback List
BIDU,BIDU Corporation,NASDAQ,Q,False,Fallback List
BIIB,BIIB Corporation,NASDAQ,Q,False,Fallback List
BILI,BILI Corporation,NASDAQ,Q,False,Fallback List
BKNG,BKNG Corporation,NASDAQ,Q,False,Fallback List
BLDP,BLDP Corporation,NASDAQ,Q,False,Fallback List
BMRN,BMRN Corporation,NASDAQ,Q,False,Fallback List
BNTX,BNTX Corporation,NASDAQ,Q,False,Fallback List
CCL,CCL Corporation,NASDAQ,Q,False,Fallback List
CDNS,CDNS Corporation,NASDAQ,Q,False,Fallback List
CELG,CELG Corporation,NASDAQ,Q,False,Fallback List
CHRW,CHRW Corporation,NASDAQ,Q,False,Fallback List
CHTR,CHTR Corporation,NASDAQ,Q,False,Fallback List
CMCSA,CMCSA Corporation,NASDAQ,Q,False,Fallback List
COIN,COIN Corporation,NASDAQ,Q,False,Fallback List
COST,COST Corporation,NASDAQ,Q,False,Fallback List
CRWD,CRWD Corporation,NASDAQ,Q,False,Fallback List
CSCO,CSCO Corporation,NASDAQ,Q,False,Fallback List
CSX,CSX Corporation,NASDAQ,Q,False,Fallback List
CTSH,CTSH Corporation,NASDAQ,Q,False,Fallback List
DDOG,DDOG Corporation,NASDAQ,Q,False,Fallback List
DEXC,DEXC Corporation,NASDAQ,Q,False,Fallback List
DISH,DISH Corporation,NASDAQ,Q,False,Fallback List
DLTR,DLTR Corporation,NASDAQ,Q,False,Fallback List
DXCM,DXCM Corporation,NASDAQ,Q,False,Fallback List
ENPH,ENPH Corporation,NASDAQ,Q,False,Fallback List
ENTG,ENTG Corporation,NASDAQ,Q,False,Fallback List
EXAS,EXAS Corporation,NASDAQ,Q,False,Fallback List
EXPD,EXPD Corporation,NASDAQ,Q,False,Fallback List
FAST,FAST Corporation,NASDAQ,Q,False,Fallback List
FCEL,FCEL Corporation,NASDAQ,Q,False,Fallback List
FISV,FISV Corporation,NASDAQ,Q,False,Fallback List
FOX,FOX Corporation,NASDAQ,Q,False,Fallback List
FOXA,FOXA Corporation,NASDAQ,Q,False,Fallback List
FSLR,FSLR Corporation,NASDAQ,Q,False,Fallback List
FTNT,FTNT Corporation,NASDAQ,Q,False,Fallback List
GILD,GILD Corporation,NASDAQ,Q,False,Fallback List
GOOG,GOOG Corporation,NASDAQ,Q,False,Fallback List
GOOGL,GOOGL Corporation,NASDAQ,Q,False,Fallback List
GRAB,GRAB Corporation,NASDAQ,Q,False,Fallback List
GSAT,GSAT Corporation,NASDAQ,Q,False,Fallback List
HON,HON Corporation,NASDAQ,Q,False,Fallback List
HOOD,HOOD Corporation,NASDAQ,Q,False,Fallback List
IDXX,IDXX Corporation,NASDAQ,Q,False,Fallback List
ILMN,ILMN Corporation,NASDAQ,Q,False,Fallback List
INCY,INCY Corporation,NASDAQ,Q,False,Fallback List
INTC,INTC Corporation,NASDAQ,Q,False,Fallback List
INTU,INTU Corporation,NASDAQ,Q,False,Fallback List
IRDM,IRDM Corporation,NASDAQ,Q,False,Fallback List
ISRG,ISRG Corporation,NASDAQ,Q,False,Fallback List
JD,JD Corporation,NASDAQ,Q,False,Fallback List
KLAC,KLAC Corporation,NASDAQ,Q,False,Fallback List
LBTYA,LBTYA Corporation,NASDAQ,Q,False,Fallback List
LBTYK,LBTYK Corporation,NASDAQ,Q,False,Fallback List
LC,LC Corporation,NASDAQ,Q,False,Fallback List
LCID,LCID Corporation,NASDAQ,Q,False,Fallback List
LI,LI Corporation,NASDAQ,Q,False,Fallback List
LRCX,LRCX Corporation,NASDAQ,Q,False,Fallback List
LULU,LULU Corporation,NASDAQ,Q,False,Fallback List
MAR,MAR Corporation,NASDAQ,Q,False,Fallback List
MCHP,MCHP Corporation,NASDAQ,Q,False,Fallback List
MDLZ,MDLZ Corporation,NASDAQ,Q,False,Fallback List
MELI,MELI Corporation,NASDAQ,Q,False,Fallback List
META,META Corporation,NASDAQ,Q,False,Fallback List
MNST,MNST Corporation,NASDAQ,Q,False,Fallback List
MPWR,MPWR Corporation,NASDAQ,Q,False,Fallback List
MRNA,MRNA Corporation,NASDAQ,Q,False,Fallback List
MRVL,MRVL Corporation,NASDAQ,Q,False,Fallback List
MSFT,MSFT Corporation,NASDAQ,Q,False,Fallback List
MTSI,MTSI Corporation,NASDAQ,Q,False,Fallback List
NCLH,NCLH Corporation,NASDAQ,Q,False,Fallback List
NET,NET Corporation,NASDAQ,Q,False,Fallback List
NFLX,NFLX Corporation,NASDAQ,Q,False,Fallback List
NIO,NIO Corporation,NASDAQ,Q,False,Fallback List
NOVA,NOVA Corporation,NASDAQ,Q,False,Fallback List
NU,NU Corporation,NASDAQ,Q,False,Fallback List
NVDA,NVDA Corporation,NASDAQ,Q,False,Fallback List
NWS,NWS Corporation,NASDAQ,Q,False,Fallback List
NWSA,NWSA Corporation,NASDAQ,Q,False,Fallback List
NXPI,NXPI Corporation,NASDAQ,Q,False,Fallback List
NYT,NYT Corporation,NASDAQ,Q,False,Fallback List
OKTA,OKTA Corporation,NASDAQ,Q,False,Fallback List
ON,ON Corporation,NASDAQ,Q,False,Fallback List
ORLY,ORLY Corporation,NASDAQ,Q,False,Fallback List
PAGS,PAGS Corporation,NASDAQ,Q,False,Fallback List
PARA,PARA Corporation,NASDAQ,Q,False,Fallback List
PATH,PATH Corporation,NASDAQ,Q,False,Fallback List
PAYX,PAYX Corporation,NASDAQ,Q,False,Fallback List
PDD,PDD Corporation,NASDAQ,Q,False,Fallback List
PEP,PEP Corporation,NASDAQ,Q,False,Fallback List
PLTR,PLTR Corporation,NASDAQ,Q,False,Fallback List
PLUG,PLUG Corporation,NASDAQ,Q,False,Fallback List
PYPL,PYPL Corporation,NASDAQ,Q,False,Fallback List
QCOM,QCOM Corporation,NASDAQ,Q,False,Fallback List
QRVO,QRVO Corporation,NASDAQ,Q,False,Fallback List
RBLX,RBLX Corporation,NASDAQ,Q,False,Fallback List
REGN,REGN Corporation,NASDAQ,Q,False,Fallback List
RIVN,RIVN Corporation,NASDAQ,Q,False,Fallback List
ROKU,ROKU Corporation,NASDAQ,Q,False,Fallback List
ROST,ROST Corporation,NASDAQ,Q,False,Fallback List
RUN,RUN Corporation,NASDAQ,Q,False,Fallback List
SBUX,SBUX Corporation,NASDAQ,Q,False,Fallback List
SE,SE Corporation,NASDAQ,Q,False,Fallback List
SEDG,SEDG Corporation,NASDAQ,Q,False,Fallback List
SHOP,SHOP Corporation,NASDAQ,Q,False,Fallback List
SIRI,SIRI Corporation,NASDAQ,Q,False,Fallback List
SNOW,SNOW Corporation,NASDAQ,Q,False,Fallback List
SNPS,SNPS Corporation,NASDAQ,Q,False,Fallback List
SOFI,SOFI Corporation,NASDAQ,Q,False,Fallback List
SQ,SQ Corporation,NASDAQ,Q,False,Fallback List
SWKS,SWKS Corporation,NASDAQ,Q,False,Fallback List
T,T Corporation,NASDAQ,Q,False,Fallback List
TEAM,TEAM Corporation,NASDAQ,Q,False,Fallback List
TECH,TECH Corporation,NASDAQ,Q,False,Fallback List
TER,TER Corporation,NASDAQ,Q,False,Fallback List
TEVA,TEVA Corporation,NASDAQ,Q,False,Fallback List
TME,TME Corporation,NASDAQ,Q,False,Fallback List
TMUS,TMUS Corporation,NASDAQ,Q,False,Fallback List
TSLA,TSLA Corporation,NASDAQ,Q,False,Fallback List
TXN,TXN Corporation,NASDAQ,Q,False,Fallback List
U,U Corporation,NASDAQ,Q,False,Fallback List
ULTA,ULTA Corporation,NASDAQ,Q,False,Fallback List
UPST,UPST Corporation,NASDAQ,Q,False,Fallback List
VRTX,VRTX Corporation,NASDAQ,Q,False,Fallback List
VTRS,VTRS Corporation,NASDAQ,Q,False,Fallback List
VZ,VZ Corporation,NASDAQ,Q,False,Fallback List
WB,WB Corporation,NASDAQ,Q,False,Fallback List
WBD,WBD Corporation,NASDAQ,Q,False,Fallback List
WDAY,WDAY Corporation,NASDAQ,Q,False,Fallback List
XPEV,XPEV Corporation,NASDAQ,Q,False,Fallback List
ZM,ZM Corporation,NASDAQ,Q,False,Fallback List
ZS,ZS Corporation,NASDAQ,Q,False,Fallback List
